,importance
Feature_103,0.012331580333870924
Feature_84,0.011977132870725318
Feature_75,0.010679500694831251
Feature_122,0.010029372192949096
Feature_82,0.00965274272523175
Feature_107,0.009596169902340667
Feature_80,0.009541839666747987
Feature_110,0.009439190737113568
Feature_74,0.009171988417175862
Feature_166,0.009098265307594496
Feature_109,0.008940599570970525
Feature_147,0.00876225907973465
Feature_76,0.008375716217153478
Feature_108,0.00793802319546738
Feature_111,0.007866202521705674
Feature_65,0.007854232096052368
Feature_116,0.007644686329449712
Feature_78,0.007440578348147734
Feature_81,0.007202170162458996
Feature_101,0.00707065914082208
Feature_145,0.006821676676739808
Feature_121,0.006760961186174646
Feature_72,0.006726485280382478
Feature_128,0.006719006808106734
Feature_102,0.006694479706731521
Feature_99,0.00666060686136751
Feature_64,0.006556328710682615
Feature_172,0.0064034386584206045
Feature_105,0.006214002410218555
Feature_106,0.006200177767694939
Feature_130,0.006147415501987707
Feature_69,0.0060790075664756285
Feature_53,0.0060731203218775355
Feature_31,0.006069165197446655
Feature_86,0.006068461034974834
Feature_170,0.006032121151459763
Feature_96,0.005987681602959841
Feature_154,0.005987445333378388
Feature_85,0.00595708184001269
Feature_152,0.005949091692261711
Feature_174,0.005870745133130892
Feature_77,0.005854976018465597
Feature_88,0.005836178233218732
Feature_173,0.00581215444856565
Feature_67,0.005799955646705799
Feature_68,0.005775697038363354
Feature_156,0.005770673509828859
Feature_118,0.005725493899579869
Feature_188,0.005665812393582506
Feature_155,0.0056512255568473965
Feature_117,0.005592307449575407
Feature_83,0.005589891878392107
Feature_150,0.00556105389308006
Feature_120,0.005552327707043253
Feature_87,0.00555038552659259
Feature_70,0.005497523751243287
Feature_186,0.005465852869279547
Feature_104,0.005434002315676072
Feature_92,0.005419247032976587
Feature_171,0.0053938987730790915
Feature_94,0.005387517613099968
Feature_93,0.005382211896117834
Feature_45,0.00533181899704647
Feature_73,0.005323513062399134
Feature_153,0.005305530627348069
Feature_143,0.005296126032979736
Feature_79,0.005283564106928639
Feature_129,0.005282160252391669
Feature_141,0.0051544071824667385
Feature_71,0.005140910476388875
Feature_127,0.005111534735814371
Feature_38,0.005109702944966066
Feature_161,0.005088687848667464
Feature_15,0.005071739140542076
Feature_164,0.005058634050322297
Feature_162,0.0050566065859815445
Feature_91,0.005052229290867427
Feature_178,0.005039256982482358
Feature_135,0.005033289666978102
Feature_98,0.005027168576024712
Feature_95,0.0050101474725145565
Feature_28,0.0049840776866345755
Feature_185,0.004983477866083868
Feature_89,0.004977502873631503
Feature_22,0.004976873195812122
Feature_58,0.004955722764495749
Feature_176,0.0049533686291159335
Feature_151,0.004936151222065267
Feature_3,0.004907463053665772
Feature_119,0.004901800550471371
Feature_146,0.004891744839421123
Feature_159,0.004873322648739989
Feature_35,0.004868204955102978
Feature_149,0.004862496193186594
Feature_165,0.004860086747960479
Feature_66,0.004837544858068548
Feature_115,0.004835223961385433
Feature_1,0.004826060527363734
Feature_168,0.004759518935020436
Feature_184,0.0047546304195025665
Feature_44,0.004739782483447925
Feature_113,0.00472903221854105
Feature_114,0.004728039922095582
Feature_90,0.004722436314704083
Feature_132,0.00472074048348279
Feature_2,0.0046903665686498655
Feature_26,0.0046676595094427105
Feature_187,0.004652541666103772
Feature_183,0.004651022220464927
Feature_140,0.004626516812340739
Feature_148,0.004623508042719536
Feature_57,0.004623272400109723
Feature_179,0.004616694944230065
Feature_163,0.004602490808274023
Feature_18,0.004596301272965108
Feature_181,0.004591792846609742
Feature_7,0.004590444831771003
Feature_123,0.004572305965376563
Feature_112,0.0045717732053768625
Feature_9,0.0045717563833426065
Feature_39,0.004569366264295524
Feature_139,0.004569340079003965
Feature_177,0.0045481755391047745
Feature_48,0.004545213131971785
Feature_182,0.004545168984150807
Feature_175,0.004541693711940282
Feature_125,0.004538590289683086
Feature_137,0.004524856275200152
Feature_47,0.004518242896497534
Feature_144,0.004514207577591896
Feature_42,0.004480750357399164
Feature_126,0.004455785247210949
Feature_189,0.004435255910635693
Feature_160,0.004385805774156556
Feature_24,0.004360101865419655
Feature_142,0.004353216137037611
Feature_55,0.004339425211542025
Feature_13,0.004332554530417542
Feature_4,0.004332488809711758
Feature_52,0.004301497234067856
Feature_157,0.004295756415227103
Feature_6,0.004258042285179625
Feature_29,0.004256978976911345
Feature_30,0.004229029190378505
Feature_136,0.004211216708782063
Feature_169,0.004199240861957809
Feature_19,0.004191931743571203
Feature_21,0.0041913770599026155
Feature_124,0.004183385486772034
Feature_41,0.00418041739764379
Feature_131,0.0041776999107635765
Feature_20,0.004171847141308607
Feature_158,0.00413410403196491
Feature_134,0.0041320732268807
Feature_49,0.004130118319917265
Feature_27,0.004129514411272132
Feature_100,0.004127600246929039
Feature_23,0.004110823592854285
Feature_62,0.004108279119824445
Feature_33,0.004099495131813995
Feature_37,0.004097644034829125
Feature_56,0.004078659165462836
Feature_60,0.004075113317769167
Feature_51,0.004072239502218629
Feature_54,0.00407211194163042
Feature_43,0.004061967755936614
Feature_180,0.0040324354352673855
Feature_25,0.00401402471534819
Feature_138,0.004009573290728298
Feature_40,0.004004098629850746
Feature_63,0.003993801980207135
Feature_32,0.003993509462887042
Feature_133,0.0039926923723742755
Feature_97,0.003990959661343159
Feature_167,0.003986319610339215
Feature_50,0.0039574807213816855
Feature_36,0.003951511805174337
Feature_17,0.003907771212976519
Feature_10,0.003891861020940461
Feature_46,0.0038491850575339973
Feature_5,0.003835014139829775
Feature_61,0.003804559871317263
Feature_16,0.0037750864396311964
Feature_8,0.0037688532563528625
Feature_59,0.003744403031389852
Feature_12,0.0037264374125861965
Feature_14,0.0036403280569797143
Feature_11,0.0036218163847154955
Feature_34,0.0034192973608755868
